trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2360,13:05:00,13:05:00,87,3,,0,0,1
2360,13:12:00,13:12:00,11,4,,0,0,1
2360,13:20:00,13:20:00,24,5,,0,0,1
2360,13:24:00,13:24:00,111,6,,0,0,1
2361,13:51:00,13:51:00,17,1,,0,0,1
2361,14:03:00,14:03:00,115,2,,0,0,1
2361,14:14:00,14:14:00,87,3,,0,0,1
2361,14:21:00,14:21:00,11,4,,0,0,1
2361,14:29:00,14:29:00,24,5,,0,0,1
2361,14:33:00,14:33:00,111,6,,0,0,1
2362,14:41:00,14:41:00,17,1,,0,0,1
2362,14:53:00,14:53:00,115,2,,0,0,1
2362,15:04:00,15:04:00,87,3,,0,0,1
2362,15:11:00,15:11:00,11,4,,0,0,1
2362,15:19:00,15:19:00,24,5,,0,0,1
2362,15:23:00,15:23:00,111,6,,0,0,1
2363,15:29:00,15:29:00,17,1,,0,0,1
2363,15:41:00,15:41:00,115,2,,0,0,1
2363,15:52:00,15:52:00,87,3,,0,0,1
2363,15:59:00,15:59:00,11,4,,0,0,1
2363,16:07:00,16:07:00,24,5,,0,0,1
2363,16:11:00,16:11:00,111,6,,0,0,1
2364,16:17:00,16:17:00,17,1,,0,0,1
2364,16:29:00,16:29:00,115,2,,0,0,1
2364,16:40:00,16:40:00,87,3,,0,0,1
2364,16:47:00,16:47:00,11,4,,0,0,1
2364,16:55:00,16:55:00,24,5,,0,0,1
2364,16:59:00,16:59:00,111,6,,0,0,1
2365,17:05:00,17:05:00,17,1,,0,0,1
2365,17:17:00,17:17:00,115,2,,0,0,1
2365,17:28:00,17:28:00,87,3,,0,0,1
2365,17:35:00,17:35:00,11,4,,0,0,1
2365,17:43:00,17:43:00,24,5,,0,0,1
2365,17:47:00,17:47:00,111,6,,0,0,1
2366,17:54:00,17:54:00,17,1,,0,0,1
2366,18:06:00,18:06:00,115,2,,0,0,1
2366,18:17:00,18:17:00,87,3,,0,0,1
2366,18:24:00,18:24:00,11,4,,0,0,1
2366,18:29:00,18:29:00,24,5,,0,0,1
2367,18:43:00,18:43:00,17,1,,0,0,1
2367,18:55:00,18:55:00,115,2,,0,0,1
2367,19:06:00,19:06:00,87,3,,0,0,1
2367,19:13:00,19:13:00,11,4,,0,0,1
2367,19:18:00,19:18:00,24,5,,0,0,1
2368,19:32:00,19:32:00,17,1,,0,0,1
2368,19:44:00,19:44:00,115,2,,0,0,1
2368,19:55:00,19:55:00,87,3,,0,0,1
2368,20:02:00,20:02:00,11,4,,0,0,1
2368,20:07:00,20:07:00,24,5,,0,0,1
2369,20:21:00,20:21:00,17,1,,0,0,1
2369,20:33:00,20:33:00,115,2,,0,0,1
2369,20:44:00,20:44:00,87,3,,0,0,1
2369,20:51:00,20:51:00,11,4,,0,0,1
2369,20:56:00,20:56:00,24,5,,0,0,1
2370,20:58:00,20:58:00,17,1,,0,0,1
2370,21:10:00,21:10:00,115,2,,0,0,1
2370,21:21:00,21:21:00,87,3,,0,0,1
2370,21:28:00,21:28:00,11,4,,0,0,1
2370,21:33:00,21:33:00,24,5,,0,0,1
2371,07:18:00,07:18:00,111,1,,0,0,1
2371,07:25:00,07:25:00,24,2,,0,0,1
2371,07:33:00,07:33:00,11,3,,0,0,1
2371,07:41:00,07:41:00,87,4,,0,0,1
2371,07:48:00,07:48:00,115,5,,0,0,1
2371,07:57:00,07:57:00,17,6,,0,0,1
2372,11:05:00,11:05:00,111,1,,0,0,1
2372,11:12:00,11:12:00,24,2,,0,0,1
2372,11:21:00,11:21:00,11,3,,0,0,1
2372,11:30:00,11:30:00,87,4,,0,0,1
2372,11:38:00,11:38:00,115,5,,0,0,1
2372,11:47:00,11:47:00,17,6,,0,0,1
2373,11:53:00,11:53:00,111,1,,0,0,1
2373,12:00:00,12:00:00,24,2,,0,0,1
2373,12:09:00,12:09:00,11,3,,0,0,1
2373,12:18:00,12:18:00,87,4,,0,0,1
2373,12:26:00,12:26:00,115,5,,0,0,1
2373,12:35:00,12:35:00,17,6,,0,0,1
2374,13:03:00,13:03:00,111,1,,0,0,1
2374,13:10:00,13:10:00,24,2,,0,0,1
2374,13:19:00,13:19:00,11,3,,0,0,1
2374,13:28:00,13:28:00,87,4,,0,0,1
2374,13:36:00,13:36:00,115,5,,0,0,1
2374,13:45:00,13:45:00,17,6,,0,0,1
2375,13:53:00,13:53:00,111,1,,0,0,1
2375,14:00:00,14:00:00,24,2,,0,0,1
2375,14:09:00,14:09:00,11,3,,0,0,1
2375,14:18:00,14:18:00,87,4,,0,0,1
2375,14:26:00,14:26:00,115,5,,0,0,1
2375,14:35:00,14:35:00,17,6,,0,0,1
2376,14:38:00,14:38:00,111,1,,0,0,1
2376,14:45:00,14:45:00,24,2,,0,0,1
2376,14:54:00,14:54:00,11,3,,0,0,1
2376,15:03:00,15:03:00,87,4,,0,0,1
2376,15:11:00,15:11:00,115,5,,0,0,1
2376,15:20:00,15:20:00,17,6,,0,0,1
2377,15:28:00,15:28:00,111,1,,0,0,1
2377,15:35:00,15:35:00,24,2,,0,0,1
2377,15:44:00,15:44:00,11,3,,0,0,1
2377,15:53:00,15:53:00,87,4,,0,0,1
2377,16:01:00,16:01:00,115,5,,0,0,1
2377,16:10:00,16:10:00,17,6,,0,0,1
2378,16:16:00,16:16:00,111,1,,0,0,1
2378,16:23:00,16:23:00,24,2,,0,0,1
2378,16:32:00,16:32:00,11,3,,0,0,1
2378,16:41:00,16:41:00,87,4,,0,0,1
2378,16:49:00,16:49:00,115,5,,0,0,1
2378,16:58:00,16:58:00,17,6,,0,0,1
2379,17:05:00,17:05:00,111,1,,0,0,1
2379,17:13:00,17:13:00,24,2,,0,0,1
2379,17:22:00,17:22:00,11,3,,0,0,1
2379,17:31:00,17:31:00,87,4,,0,0,1
2379,17:39:00,17:39:00,115,5,,0,0,1
2379,17:48:00,17:48:00,17,6,,0,0,1
2380,17:53:00,17:53:00,111,1,,0,0,1
2380,18:01:00,18:01:00,24,2,,0,0,1
2380,18:10:00,18:10:00,11,3,,0,0,1
2380,18:19:00,18:19:00,87,4,,0,0,1
2380,18:27:00,18:27:00,115,5,,0,0,1
2380,18:36:00,18:36:00,17,6,,0,0,1
2381,18:40:00,18:40:00,24,1,,0,0,1
2381,18:49:00,18:49:00,11,2,,0,0,1
2381,18:58:00,18:58:00,87,3,,0,0,1
2381,19:06:00,19:06:00,115,4,,0,0,1
2381,19:15:00,19:15:00,17,5,,0,0,1
2382,19:29:00,19:29:00,24,1,,0,0,1
2382,19:38:00,19:38:00,11,2,,0,0,1
2382,19:47:00,19:47:00,87,3,,0,0,1
2382,19:55:00,19:55:00,115,4,,0,0,1
2382,20:04:00,20:04:00,17,5,,0,0,1
2383,20:17:00,20:17:00,24,1,,0,0,1
2383,20:26:00,20:26:00,11,2,,0,0,1
2383,20:35:00,20:35:00,87,3,,0,0,1
2383,20:43:00,20:43:00,115,4,,0,0,1
2383,20:52:00,20:52:00,17,5,,0,0,1
2384,21:06:00,21:06:00,24,1,,0,0,1
2384,21:15:00,21:15:00,11,2,,0,0,1
2384,21:24:00,21:24:00,87,3,,0,0,1
2384,21:32:00,21:32:00,115,4,,0,0,1
2384,21:41:00,21:41:00,17,5,,0,0,1
2385,09:14:00,09:14:00,17,1,,0,0,1
2385,09:26:00,09:26:00,115,2,,0,0,1
2385,09:37:00,09:37:00,87,3,,0,0,1
2385,09:45:00,09:45:00,11,4,,0,0,1
2385,09:55:00,09:55:00,24,5,,0,0,1
2385,10:01:00,10:01:00,111,6,,0,0,1
2386,10:06:00,10:06:00,17,1,,0,0,1
2386,10:18:00,10:18:00,115,2,,0,0,1
2386,10:29:00,10:29:00,87,3,,0,0,1
2386,10:37:00,10:37:00,11,4,,0,0,1
2386,10:47:00,10:47:00,24,5,,0,0,1
2386,10:53:00,10:53:00,111,6,,0,0,1
2387,10:57:00,10:57:00,17,1,,0,0,1
2387,11:09:00,11:09:00,115,2,,0,0,1
2387,11:20:00,11:20:00,87,3,,0,0,1
2387,11:28:00,11:28:00,11,4,,0,0,1
2387,11:38:00,11:38:00,24,5,,0,0,1
2387,11:44:00,11:44:00,111,6,,0,0,1
2388,11:49:00,11:49:00,17,1,,0,0,1
2388,12:01:00,12:01:00,115,2,,0,0,1
2388,12:12:00,12:12:00,87,3,,0,0,1
2388,12:20:00,12:20:00,11,4,,0,0,1
2388,12:30:00,12:30:00,24,5,,0,0,1
2388,12:36:00,12:36:00,111,6,,0,0,1
2389,12:40:00,12:40:00,17,1,,0,0,1
2389,12:52:00,12:52:00,115,2,,0,0,1
2389,13:03:00,13:03:00,87,3,,0,0,1
2389,13:11:00,13:11:00,11,4,,0,0,1
2389,13:21:00,13:21:00,24,5,,0,0,1
2389,13:27:00,13:27:00,111,6,,0,0,1
2390,13:32:00,13:32:00,17,1,,0,0,1
2390,13:44:00,13:44:00,115,2,,0,0,1
2390,13:55:00,13:55:00,87,3,,0,0,1
2390,14:03:00,14:03:00,11,4,,0,0,1
2390,14:13:00,14:13:00,24,5,,0,0,1
2390,14:19:00,14:19:00,111,6,,0,0,1
2391,14:23:00,14:23:00,17,1,,0,0,1
2391,14:35:00,14:35:00,115,2,,0,0,1
2391,14:46:00,14:46:00,87,3,,0,0,1
2391,14:54:00,14:54:00,11,4,,0,0,1
2391,15:04:00,15:04:00,24,5,,0,0,1
2391,15:10:00,15:10:00,111,6,,0,0,1
2392,15:15:00,15:15:00,17,1,,0,0,1
2392,15:27:00,15:27:00,115,2,,0,0,1
2392,15:38:00,15:38:00,87,3,,0,0,1
2392,15:46:00,15:46:00,11,4,,0,0,1
2392,15:56:00,15:56:00,24,5,,0,0,1
2392,16:02:00,16:02:00,111,6,,0,0,1
2393,16:06:00,16:06:00,17,1,,0,0,1
2393,16:18:00,16:18:00,115,2,,0,0,1
2393,16:29:00,16:29:00,87,3,,0,0,1
2393,16:37:00,16:37:00,11,4,,0,0,1
2393,16:47:00,16:47:00,24,5,,0,0,1
2393,16:53:00,16:53:00,111,6,,0,0,1
2394,16:58:00,16:58:00,17,1,,0,0,1
2394,17:10:00,17:10:00,115,2,,0,0,1
2394,17:21:00,17:21:00,87,3,,0,0,1
2394,17:29:00,17:29:00,11,4,,0,0,1
